Timestamp,Recency,Frequency,Monetary,BasketSize
2026-06-30 23:14:15,10,5,250.0,8.0
2026-06-30 23:16:48,10,5,250.0,8.0
2026-06-30 23:17:05,10,5,250.0,8.0
2026-06-30 23:25:05,10,5,250.0,8.0
2026-06-30 23:31:40,5,15,650.0,8.5
2026-06-30 23:33:49,4,22,580.0,15.0
2026-06-30 23:34:32,240,18,450.0,12.0
2026-06-30 23:35:32,65,12,380.0,10.5
2026-06-30 23:36:23,2,5,180.0,6.0
2026-06-30 23:37:05,12,6,850.0,45.0
2026-06-30 23:39:06,320,1,15.5,1.0
2026-06-30 23:39:54,8,4,95.0,4.5
2026-06-30 23:40:48,110,3,45.0,3.0
2026-06-30 23:41:40,18,8,120.0,5.0
2026-06-30 23:42:17,45,14,25.0,2.0
2026-07-01 09:00:27,10,5,250.0,8.0
2026-07-01 09:05:20,10,5,250.0,8.0
2026-09-04 08:48:40,10,5,250.0,8.0
